,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
15444,03/16/2020,SC,33,,,5,,1,,,1,,03/26/2020 04:22:39 PM,Agree,Agree
15445,10/03/2020,RMI,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,10/04/2020 01:35:23 PM,Agree,Agree
15446,07/25/2020,NY,187668,,,410,0.0,8819,,,6,0.0,07/26/2020 03:17:16 PM,Not agree,Not agree
15447,12/14/2020,WA,203797,,,1734,0.0,2918,,,39,0.0,12/15/2020 02:39:02 PM,,
15448,12/19/2020,WA,222600,,,2332,149.0,3104,,,0,0.0,12/20/2020 02:32:33 PM,,
15449,02/09/2020,IA,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
15450,05/11/2020,MN,11799,,,528,0.0,591,591.0,0.0,13,0.0,05/12/2020 05:26:08 PM,,Agree
15451,08/03/2020,LA,120846,,,1099,0.0,4024,3910.0,114.0,17,0.0,08/04/2020 02:09:35 PM,Not agree,Agree
15452,04/19/2020,TN,6796,6796.0,0.0,33,0.0,147,147.0,0.0,2,0.0,04/19/2020 04:22:39 PM,Agree,Agree
15453,02/12/2020,AR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
15454,09/22/2020,MA,135762,125866.0,9896.0,143,0.0,9326,9118.0,208.0,11,0.0,09/23/2020 01:51:22 PM,Agree,Agree
15455,03/24/2020,MN,287,,,25,,1,,,0,,03/26/2020 04:22:39 PM,,Agree
15456,11/18/2020,KY,144753,119662.0,25091.0,2745,640.0,1712,1674.0,38.0,15,0.0,11/19/2020 03:01:36 PM,Agree,Agree
15457,10/10/2020,MN,112268,,,2956,0.0,2194,2141.0,53.0,20,0.0,10/11/2020 01:47:22 PM,,Agree
15458,09/20/2020,MS,93556,87160.0,6396.0,192,77.0,2810,2591.0,219.0,0,0.0,09/21/2020 01:47:41 PM,Agree,Agree
15459,05/05/2020,MA,70271,70271.0,0.0,1184,0.0,4212,4212.0,0.0,122,0.0,05/06/2020 04:23:08 PM,Agree,Agree
15460,06/13/2020,OH,40848,37893.0,2955.0,424,50.0,2554,2324.0,230.0,46,2.0,06/14/2020 02:19:43 PM,Agree,Agree
15461,10/14/2020,TN,220538,210016.0,10522.0,1709,299.0,2828,2698.0,130.0,31,0.0,10/15/2020 01:30:46 PM,Agree,Agree
15462,09/16/2020,AR,72219,,,862,256.0,1157,,,154,147.0,09/17/2020 01:45:45 PM,Not agree,Not agree
15463,10/11/2020,AL,165342,145590.0,19752.0,816,127.0,2664,2508.0,156.0,0,0.0,10/12/2020 02:07:08 PM,Agree,Agree
15464,07/21/2020,IA,39473,,,249,0.0,802,,,5,0.0,07/22/2020 02:51:28 PM,Not agree,Not agree
15465,11/23/2020,IN,300913,,,5556,0.0,5332,5067.0,265.0,27,0.0,11/24/2020 03:27:55 PM,Not agree,Agree
15466,09/24/2020,NV,77372,,,390,0.0,1611,,,9,1.0,09/25/2020 01:54:10 PM,,
15467,02/20/2020,TX,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
15468,05/30/2020,MS,15501,15394.0,107.0,271,0.0,734,719.0,15.0,11,0.0,05/31/2020 02:43:17 PM,Agree,Agree
15469,09/24/2020,IA,83582,,,1225,77.0,1302,,,8,0.0,09/25/2020 01:54:10 PM,Not agree,Not agree
15470,07/15/2020,TN,69061,68441.0,620.0,2273,52.0,783,755.0,28.0,16,1.0,07/16/2020 02:22:21 PM,Agree,Agree
15471,06/07/2020,CO,28001,25457.0,2544.0,153,15.0,1527,1209.0,318.0,0,0.0,06/08/2020 02:55:08 PM,Agree,Agree
15472,09/12/2020,NV,73449,,,398,-16.0,1484,,,10,0.0,09/13/2020 04:17:15 PM,,
15473,04/20/2020,NYC,134874,134874.0,0.0,5086,0.0,14427,9562.0,4865.0,1187,436.0,04/20/2020 04:22:39 PM,Agree,Agree
15474,11/05/2020,CT,77060,72261.0,4799.0,1687,664.0,4656,3744.0,912.0,11,3.0,11/06/2020 03:33:41 PM,Agree,Agree
15475,05/22/2020,AL,13941,13676.0,265.0,294,-1.0,543,541.0,2.0,9,0.0,05/23/2020 05:58:16 PM,Agree,Agree
15476,07/29/2020,NJ,180766,,,471,0.0,15798,13923.0,1875.0,-27,-45.0,07/30/2020 02:42:43 PM,Not agree,Agree
15477,08/20/2020,WV,8982,8806.0,176.0,181,-2.0,166,,,0,0.0,08/21/2020 02:27:34 PM,Agree,Not agree
15478,05/26/2020,KY,8951,8800.0,151.0,380,31.0,394,393.0,1.0,3,0.0,05/27/2020 03:37:59 PM,Agree,Agree
15479,02/20/2020,PA,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
15480,08/01/2020,AL,89349,86780.0,2569.0,1482,111.0,1603,1553.0,50.0,22,2.0,08/02/2020 02:54:37 PM,Agree,Agree
15481,07/02/2020,AZ,87425,86970.0,455.0,3333,8.0,1757,1642.0,115.0,37,2.0,07/03/2020 03:01:33 PM,Agree,Agree
15482,04/16/2020,AS,0,,,0,,0,,,0,,04/16/2020 04:22:39 PM,,
15483,10/08/2020,MI,146493,132039.0,14454.0,1401,204.0,7193,6869.0,324.0,24,2.0,10/09/2020 01:43:36 PM,Agree,Agree
15484,03/14/2020,KY,15,,,4,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
15485,04/02/2020,CA,9191,,,1036,,203,,,31,,04/01/2020 04:22:39 PM,Not agree,Not agree
15486,08/19/2020,MI,104091,94278.0,9813.0,688,72.0,6618,6349.0,269.0,10,1.0,08/20/2020 03:11:45 PM,Agree,Agree
15487,09/10/2020,CA,742865,,,3338,0.0,13978,,,137,0.0,09/11/2020 01:51:03 PM,Not agree,Not agree
15488,03/28/2020,ID,261,,,31,,5,,,1,,03/28/2020 04:22:39 PM,Agree,Agree
15489,03/11/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
15490,04/18/2020,CT,17550,,,741,,1086,,,50,,04/18/2020 04:22:39 PM,Agree,Agree
15491,02/02/2020,NJ,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Agree
15492,08/28/2020,VA,118809,113623.0,5186.0,1217,40.0,2568,2435.0,133.0,18,0.0,08/29/2020 01:42:50 PM,Agree,Agree
15493,07/17/2020,AR,31762,,,648,0.0,353,,,12,0.0,07/18/2020 04:14:26 PM,Not agree,Not agree
15494,08/20/2020,TN,139175,136476.0,2699.0,1375,102.0,1488,1447.0,41.0,36,1.0,08/21/2020 02:27:34 PM,Agree,Agree
15495,03/11/2020,IL,27,,,8,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
15496,03/17/2020,CO,183,,,23,,2,,,1,,03/26/2020 04:22:39 PM,Agree,Agree
15497,11/10/2020,MN,189681,,,4893,63.0,2752,2668.0,84.0,23,0.0,11/11/2020 03:15:25 PM,,Agree
15498,07/21/2020,MA,114033,107221.0,6812.0,244,79.0,8450,8231.0,219.0,17,0.0,07/22/2020 02:51:28 PM,Agree,Agree
15499,05/22/2020,WA,19265,,,148,0.0,1050,,,6,0.0,05/23/2020 05:58:16 PM,,
15500,06/10/2020,RMI,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,06/11/2020 02:48:51 PM,Agree,Agree
15501,05/17/2020,OH,27923,26220.0,1703.0,449,65.0,1625,1472.0,153.0,15,0.0,05/18/2020 04:01:54 PM,Agree,Agree
15502,12/02/2020,AL,256828,213172.0,43656.0,3928,793.0,3711,3326.0,385.0,73,27.0,12/03/2020 03:21:08 PM,Agree,Agree
15503,03/30/2020,TX,2877,,,325,,38,,,4,,03/29/2020 04:22:39 PM,Not agree,Not agree
15504,11/08/2020,OK,146692,124671.0,22021.0,1956,109.0,1450,1407.0,43.0,4,1.0,11/09/2020 02:38:54 PM,Agree,Agree
15505,08/24/2020,NY,197811,,,194,0.0,8933,,,3,0.0,08/25/2020 02:02:54 PM,Not agree,Not agree
15506,01/30/2020,IN,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Agree
15507,09/02/2020,WY,3911,3311.0,600.0,45,16.0,41,41.0,0.0,0,0.0,09/03/2020 02:18:16 PM,Agree,Agree
15508,03/25/2020,CT,875,,,257,,19,,,7,,03/26/2020 04:22:39 PM,Agree,Agree
15509,07/06/2020,NJ,173611,,,209,0.0,15229,13373.0,1856.0,18,0.0,07/07/2020 02:58:02 PM,Not agree,Agree
15510,05/19/2020,RMI,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,05/20/2020 03:28:26 PM,Agree,Agree
15511,06/13/2020,KY,12445,12125.0,320.0,279,4.0,499,497.0,2.0,2,0.0,06/14/2020 02:19:43 PM,Agree,Agree
15512,07/16/2020,OK,22907,22725.0,182.0,1075,9.0,432,432.0,0.0,2,0.0,07/17/2020 02:31:01 PM,Agree,Agree
15513,02/19/2020,IL,2,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
15514,07/21/2020,WA,48575,,,832,0.0,1465,,,12,0.0,07/22/2020 02:51:28 PM,,
15515,07/18/2020,OK,25056,25056.0,0.0,1521,-190.0,451,451.0,0.0,13,0.0,07/19/2020 03:05:47 PM,Agree,Agree
15516,05/28/2020,IN,33068,,,631,0.0,2068,1907.0,161.0,38,2.0,05/29/2020 02:19:55 PM,Not agree,Agree
15517,05/07/2020,MI,45646,45646.0,0.0,592,0.0,4343,4343.0,0.0,93,0.0,05/08/2020 09:26:08 PM,Agree,Agree
15518,12/25/2020,TN,546497,485728.0,60769.0,0,0.0,6431,5646.0,785.0,0,0.0,12/26/2020 02:34:18 PM,Agree,Agree
15519,10/15/2020,NE,55428,,,961,0.0,535,,,5,0.0,10/16/2020 01:33:55 PM,Not agree,Not agree
15520,11/01/2020,MS,120865,105370.0,15495.0,365,93.0,3348,3010.0,338.0,0,0.0,11/02/2020 02:53:09 PM,Agree,Agree
15521,04/26/2020,MS,6094,6094.0,0.0,376,0.0,229,229.0,0.0,8,0.0,05/25/2020 03:38:40 PM,Agree,Agree
15522,09/27/2020,AS,0,,,0,0.0,0,,,0,0.0,09/28/2020 01:50:59 PM,,
15523,07/19/2020,MI,81868,73663.0,8205.0,530,47.0,6366,6119.0,247.0,2,0.0,07/20/2020 02:35:44 PM,Agree,Agree
15524,04/06/2020,PR,513,,,38,,21,,,1,,04/05/2020 04:22:39 PM,Agree,Agree
15525,12/07/2020,NYC,343644,312892.0,30752.0,3351,473.0,24416,19691.0,4725.0,28,11.0,12/08/2020 02:59:49 PM,Agree,Agree
15526,01/23/2020,CT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
15527,10/30/2020,WI,232062,220092.0,11970.0,5357,261.0,2029,1972.0,57.0,26,2.0,10/31/2020 01:30:31 PM,Agree,Agree
15528,08/20/2020,OH,112003,106063.0,5940.0,1122,58.0,3929,3650.0,279.0,22,-1.0,08/21/2020 02:27:34 PM,Agree,Agree
15529,05/14/2020,MN,14240,,,1323,0.0,691,683.0,8.0,53,8.0,05/15/2020 04:11:22 PM,,Agree
15530,07/25/2020,WV,5821,5687.0,134.0,126,1.0,103,,,0,0.0,07/26/2020 03:17:16 PM,Agree,Not agree
15531,11/09/2020,NE,85551,,,1582,0.0,710,,,7,0.0,11/10/2020 02:45:45 PM,Not agree,Not agree
15532,03/09/2020,IA,8,,,5,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
15533,03/04/2020,IL,4,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
15534,06/28/2020,FL,138567,,,8475,0.0,3419,,,29,0.0,06/29/2020 02:37:31 PM,Not agree,Not agree
15535,12/15/2020,ID,124019,103740.0,20279.0,1802,402.0,1214,1088.0,126.0,20,7.0,12/16/2020 02:28:57 PM,Agree,Agree
15536,04/06/2020,CA,14336,,,898,,343,,,24,,04/05/2020 04:22:39 PM,Not agree,Not agree
15537,05/20/2020,CT,39017,37037.0,1980.0,587,36.0,3529,2730.0,799.0,57,14.0,05/21/2020 03:41:38 PM,Agree,Agree
15538,11/13/2020,WI,318023,301165.0,16858.0,8451,674.0,2683,2573.0,110.0,62,4.0,11/14/2020 02:44:40 PM,Agree,Agree
